Country,Network,MCC,MNC
Canada,Videotron (Quebecor Media),302,51
Canada,Keewaytinook Mobile,302,53
Canada,Lynx Mobility (OmniGlobe Networks),302,56
Canada,Quadro Com,302,59
Canada,Bell Mobility (BCE),302,61
Canada,Ice Wireless,302,62
Canada,Bell Mobility (BCE),302,63
Canada,Bell Mobility (BCE),302,64
Canada,TBayTel,302,65
Canada,MTS Wireless (Manitoba Telecom Services),302,66
Canada,CityWest,302,67
Canada,Sasktel,302,68
Canada,Rogers Communications Canada Inc.,302,72
Canada,Shaw Telecom,302,74
Canada,Public Mobile Montreal,302,76
Canada,RuralCom,302,77
Canada,Sasktel,302,78
Canada,Telus Mobility,302,86
Canada,Telus Mobility,302,88
Canada,Wightman Telecom,302,94
Cape Verde,CVMovel (Cabo Verde Telecom),625,1
Cape Verde,T+ (Teylium),625,2
Cayman Islands,Digicel,346,5
Cayman Islands,FLOW (Cable & Wireless),346,14
Central African Republic,Moov (Etisalat),623,1
Central African Republic,Telecel (Orascom),623,2
Central African Republic,Orange,623,3
Central African Republic,Nationlink Telecom RCA,623,4
Chad,Airtel (Bharti Airtel),622,1
Chad,Tigo (Millicom),622,3
Chile,Entel,730,1
Chile,Movistar (Telefónica),730,2
Chile,Claro,730,3
Chile,WOM,730,4
Chile,Movistar,730,7
Chile,VTR Movil (MVNO),730,8
Chile,WOM,730,9
Chile,Telestar Movil (MVNO),730,12
Chile,Virgin Mobile (MVNO),730,13
China,China Mobile,460,0
China,China Unicom,460,1
China,China Telecom,460,3
China,China Tietong,460,20
Colombia,Lleida,732,3
Colombia,Claro,732,10
Colombia,Tigo (Millicom),732,11
Colombia,Movistar (Telefónica),732,12
Colombia,Avantel S.A.,732,13
Colombia,Virgin Mobile (MVNO),732,15
Colombia,Empresa de Telecomunicaciones de Bogotá,732,18
Comoros,Huri (Comores Telecom),654,1
Comoros,TELCO,654,2
Congo,Airtel Congo SA,629,1
Congo,Equateur Telecom SA,629,2
Congo,Warid Telecom (Abu Dhabi),629,7
Congo,MTN,629,10
Congo DR,Vodacom,630,1
Congo DR,Airtel sprl,630,2
Congo DR,Supercell,630,5
Congo DR,Orange RDC sarl,630,86
Congo DR,Tigo (Salt),630,89
Congo DR,Africell RDC sprl,630,90
Cook Islands,Bluesky,548,1
Costa Rica,Kolbi ICE,712,1
Costa Rica,Claro (América Móvil),712,3
Costa Rica,Movistar (Telefónica),712,4
Cote d Ivoire,Moov (Etisalat),612,2
Cote d Ivoire,Orange,612,3
Cote d Ivoire,koZ (Comium),612,4
Cote d Ivoire,MTN,612,5
Cote d Ivoire,GreenN (Oricel),612,6
Cote d Ivoire,café (Aircomm),612,7
Croatia,T-Mobile (T-Hrvatski Telekom),219,1
Croatia,Tele2,219,2
Croatia,A1,219,10
Cuba,Cubacel (Etecsa),368,1
Curaçao,Digicel,362,69
Cyprus,Cytamobile-Vodafone,280,1
Cyprus,MTN,280,10
Cyprus,PrimeTel,280,20
Cyprus,Lemontel (MVNO),280,22
Czech Republic,T-Mobile (Deutsche Telekom),230,1
Czech Republic,O2 (Telefónica),230,2
Czech Republic,Vodafone,230,3
Czech Republic,Nordic Telecom s.r.o.,230,4
Czech Republic,O2 (MVNO),230,97
Denmark,TDC,238,1
Denmark,Telenor,238,2
Denmark,3 (Hutchison),238,6
Denmark,Vectone Mobile (MVNO),238,7
Denmark,Lycamobile (MVNO),238,12
Denmark,Telia (TeliaSonera),238,20
Djibouti,Evatis (Djibouti Telecom),638,1
Dominica,FLOW (Cable & Wireless),366,11
Dominica,Digicel,366,20
Dominican Republic,Altice,370,1
Dominican Republic,Claro (América Móvil),370,2
Dominican Republic,Altice,370,3
Dominican Republic,Viva (Trilogy),370,4
Ecuador,Movistar (Telefónica),740,0
Ecuador,Claro,740,1
Ecuador,CNT Mobile,740,2
Egypt,Orange,602,1
Egypt,Vodafone,602,2
Egypt,Etisalat,602,3
Egypt,WE (Telecom Egypt),602,4
El Salvador,Claro (América Móvil),706,1
El Salvador,Digicel,706,2
El Salvador,Tigo (Millicom),706,3
El Salvador,Movistar (Telefónica),706,4
Equatorial Guinea,Orange (GETESA),627,1
Equatorial Guinea,HITS Telecom,627,3
Eritrea,Eritel,657,1
Estonia,Telia,248,1
Estonia,Elisa,248,2
Estonia,Tele2,248,3
Ethiopia,MTN (Ethio Telecom),636,1
Falkland Islands,Sure,750,0
Falkland Islands,Touch,750,1
Faroe Islands,Faroese Telecom,288,1
Faroe Islands,Hey,288,2
Fiji,Vodafone,542,1
Fiji,Digicel,542,2
Fiji,Telecom Fiji Ltd,542,3
Finland,DNA,244,3
Finland,Elisa,244,5
Finland,DNA,244,12
Finland,Alcom,244,14
Finland,Elisa (MVNO),244,21
Finland,Sonera (TeliaSonera),244,91
France,Orange,208,1
France,Sisteer (MVNO),208,4
France,SFR (MVNO),208,8
France,SFR,208,10
France,Free Mobile,208,15
France,Legos,208,17
France,Bouygues Telecom,208,20
France,Transatel Mobile,208,22
France,Syndicat mixte ouvert Charente numérique,208,23
France,Lycamobile (MVNO),208,25
France,NRJ Mobile (MVNO),208,26
France,Coriolis Telecom (MVNO),208,27
France,Syma Mobile (MVNO),208,30
France,Vectone Mobile (MVNO),208,31
French Guiana,Digicel,340,20
French Polynesia,Vodafone (Pacific Mobile Telecom),547,15
French Polynesia,Vini (Tikiphone),547,20
FYROM,T-Mobile (Makedonski Telekom),294,1
FYROM,Vip,294,2
FYROM,Vip,294,3
FYROM,Lycamobile (MVNO),294,4
Gabon,Libertis (Gabon Telecom),628,1
Gabon,Moov (Etisalat),628,2
Gabon,Airtel (Bharti Airtel),628,3
Gabon,Azur,628,4
Gambia,Gamcel,607,1
Gambia,Africell,607,2
Gambia,Comium,607,3
Gambia,Qcell,607,4
Georgia,Geocell (Silknet),282,1
Georgia,Magticom,282,2
Georgia,Beeline (Mobitel),282,4
Georgia,S1 Silknet (CDMA),282,5
Germany,Telekom (Deutsche Telekom),262,1
Germany,Vodafone,262,2
Germany,E-Plus,262,3
Germany,O2 (Telefónica),262,7
Germany,Dolphin Telecom (MVNO),262,12
Germany,Telogic ViStream (MVNO),262,16
Germany,Voiceworks (MVNE),262,20
Germany,Sipgate Wireless GmbH (MVNO),262,22
Germany,Lycamobile (MVNO),262,43
Ghana,MTN,620,1
Ghana,Vodafone,620,2
Ghana,AirtelTigo (Milicom),620,3
Ghana,Expresso (Sudatel),620,4
Ghana,AirtelTigo (Airtel),620,6
Ghana,Globacom,620,7
Gibraltar,GibTel,266,1
Gibraltar,CTS Mobile,266,6
Greece,Cosmote,202,1
Greece,Vodafone,202,5
Greece,AMD Telecom,202,7
Greece,WIND,202,9
Greece,WIND (Largo),202,10
Greece,Cyta (Hellas),202,14
Greenland,Tele,290,1
Grenada,Digicel,352,3
Grenada,FLOW (Cable & Wireless),352,11
Grenada,Digicel,352,13
Guadeloupe,Orange,340,1
Guadeloupe,UTS Caraïbe,340,3
Guadeloupe,Amigo (Dauphin Telecom),340,8
Guam,PTI Pacifica Inc.,310,11
Guam,Gta Wireless,310,14
Guam,IT&E Wireless,310,32
Guam,IT&E (PTI),310,35
Guam,iConnect,310,40
Guam,NTT Docomo Pacific,310,47
Guatemala,Claro,704,1
Guatemala,Tigo (Millicom),704,2
Guatemala,Movistar (Telefónica),704,3
Guernsey,JT,234,50
Guernsey,Sure Mobile,234,55
Guinea,Orange,611,1
Guinea,Sotelgui,611,2
Guinea,Telecel Guinee,611,3
Guinea,MTN (Areeba),611,4
Guinea,Cellcom,611,5
Guinea-Bissau,MTN,632,2
Guinea-Bissau,Orange,632,3
Guinea-Bissau,Guinetel,632,7
Guyana,Digicel,738,1
Guyana,GT&T Cellink Plus,738,2
Haiti,Digicel,372,2
Haiti,Natcom,372,3
Honduras,Claro (América Móvil),708,1
Honduras,Tigo (Millicom),708,2
Honduras,Hondutel,708,30
Honduras,Digicel,708,40
Hong Kong,CSL (Telstra),454,0
Hong Kong,CITIC Telecom 1616 (MVNO),454,1
Hong Kong,CSL (Telstra),454,2
Hong Kong,Hutchison3G,454,3
Hong Kong,3 (Hutchison),454,4
Hong Kong,SmarTone,454,6
Hong Kong,China Unicom (MVNO),454,7
Hong Kong,Truphone (MVNO),454,8
Hong Kong,China Motion Telecom (HK) Ltd,454,9
Hong Kong,China-Hong Kong Telecom (MVNO),454,11
Hong Kong,China Mobile,454,12
Hong Kong,3 (Hutchison),454,14
Hong Kong,SmarTone,454,15
Hong Kong,PCCW (HKT),454,16
Hong Kong,SmarTone,454,17
Hong Kong,PCCW (HKT),454,19
Hong Kong,PCCW (HKT),454,29
Hong Kong,CTExcel (MVNO),454,31
Hungary,Telenor,216,1
Hungary,T-Mobile (Magyar Telekom),216,30
Hungary,Vodafone,216,70
Hungary,UPC Hungary Ltd (MVNO),216,71
Iceland,Siminn,274,1
Iceland,Vodafone (Fjarskipta),274,2
Iceland,Viking,274,4
Iceland,On-waves,274,8
Iceland,Nova,274,11
Iceland,Tal (MVNO),274,12
India,MTS (Sistema Shyam TeleServices),404,0
India,Vodafone,404,1
India,Airtel (Bharti Airtel),404,2
India,Airtel (Bharti Airtel),404,3
India,Idea Cellular,404,4
India,Vodafone,404,5
India,Idea Cellular,404,7
India,Reliance Communications,404,9
India,Airtel (Bharti Airtel),404,10
India,Vodafone,404,11
India,Idea Cellular,404,12
India,Vodafone,404,13
India,Idea Cellular,404,14
India,Aircel (Maxis),404,15
India,Airtel (Bharti Airtel),404,16
India,Aircel (Maxis),404,17
India,Reliance Telecom Pvt Ltd,404,18
India,Idea Cellular,404,19
India,Vodafone,404,20
India,Loop Mobile,404,21
India,Idea Cellular,404,22
India,Idea Cellular,404,24
India,Aircel (Maxis),404,25
India,Vodafone,404,27
India,Aircel (Maxis),404,28
India,Aircel (Maxis),404,29
India,Vodafone,404,30
India,Airtel (Bharti Airtel),404,31
India,Aircel (Maxis),404,33
India,BSNL,404,34
India,Aircel (Maxis),404,35
India,Reliance Communications,404,36
India,Aircel (Maxis),404,37
India,BSNL,404,38
India,Airtel (Bharti Airtel),404,40
India,Aircel (Maxis),404,41
India,Aircel (Maxis),404,42
India,Vodafone,404,43
India,Idea Cellular,404,44
India,Airtel (Bharti Airtel),404,45
India,Vodafone,404,46
India,Airtel (Bharti Airtel),404,49
India,Reliance Communications,404,50
India,BSNL,404,51
India,Reliance Communications,404,52
India,BSNL,404,53
India,BSNL,404,54
India,BSNL,404,55
India,Idea Cellular,404,56
India,BSNL,404,57
India,BSNL,404,58
India,BSNL,404,59
India,Aircel (Maxis),404,60
India,BSNL,404,62
India,BSNL,404,64
India,BSNL,404,66
India,Reliance Communications,404,67
India,MTNL,404,68
India,MTNL,404,69
India,Airtel (Bharti Airtel),404,70
India,BSNL,404,71
India,BSNL,404,72
India,BSNL,404,73
India,BSNL,404,74
India,BSNL,404,75
India,BSNL,404,76
India,BSNL,404,77
India,Idea Cellular,404,78
India,BSNL,404,80
India,BSNL,404,81
India,Idea Cellular,404,82
India,Reliance Communications,404,83
India,Vodafone,404,84
India,Reliance Communications,404,85
India,Vodafone,404,86
India,IDEA Cellular Ltd,404,87
India,Vodafone,404,88
India,IDEA Cellular Ltd,404,89
India,Airtel (Bharti Airtel),404,90
India,Aircell Digilink India Ltd,404,91
India,Airtel (Bharti Airtel),404,92
India,Airtel (Bharti Airtel),404,93
India,Airtel (Bharti Airtel),404,94
India,Airtel (Bharti Airtel),404,95
India,Airtel (Bharti Airtel),404,96
India,Airtel (Bharti Airtel),404,97
India,Airtel (Bharti Airtel),404,98
India,Reliance Communications,405,1
India,Tata DOCOMO (Tata Teleservices),405,2
India,Reliance Communications,405,3
India,Chennai,405,4
India,Reliance Communications,405,5
India,Reliance Communications,405,6
India,Reliance Communications,405,7
India,Reliance Communications,405,8
India,Reliance Communications,405,9
India,Reliance Communications,405,10
India,Reliance Communications,405,11
India,Reliance Communications,405,12
India,Reliance Communications,405,13
India,Reliance Communications,405,14
India,Reliance Communications,405,15
India,Reliance Communications,405,17
India,Reliance Communications,405,18
India,Reliance Communications,405,19
India,Reliance Communications,405,20
India,Reliance Communications,405,21
India,Reliance Communications,405,22
India,Reliance Communications,405,23
India,Reliance Jio Infocomm (Reliance Industri,405,24
India,Tata DOCOMO (Tata Teleservices),405,25
India,Tata DOCOMO (Tata Teleservices),405,26
India,Tata DOCOMO (Tata Teleservices),405,27
India,Tata DOCOMO (Tata Teleservices),405,29
India,Tata DOCOMO (Tata Teleservices),405,30
India,Tata DOCOMO (Tata Teleservices),405,31
India,Tata DOCOMO (Tata Teleservices),405,32
India,Reliance Communications,405,33
India,Tata DOCOMO (Tata Teleservices),405,34
India,Tata DOCOMO (Tata Teleservices),405,35
India,Tata DOCOMO (Tata Teleservices),405,36
India,Tata DOCOMO (Tata Teleservices),405,37
India,Tata DOCOMO (Tata Teleservices),405,38
India,Tata DOCOMO (Tata Teleservices),405,39
India,Reliance Communications,405,40
India,Tata DOCOMO (Tata Teleservices),405,41
India,Tata DOCOMO (Tata Teleservices),405,42
India,Tata DOCOMO (Tata Teleservices),405,43
India,Tata DOCOMO (Tata Teleservices),405,44
India,Tata DOCOMO (Tata Teleservices),405,45
India,Tata DOCOMO (Tata Teleservices),405,46
India,Tata DOCOMO (Tata Teleservices),405,47
India,Reliance Jio Infocomm Ltd,405,48
India,Reliance Jio Infocomm Ltd,405,49
India,Reliance Jio Infocomm Ltd,405,50
India,Airtel (Bharti Airtel),405,51
India,Airtel (Bharti Airtel),405,52
India,Airtel (Bharti Airtel),405,53
India,Airtel (Bharti Airtel),405,54
India,Airtel (Bharti Airtel),405,55
India,Airtel (Bharti Airtel),405,56
India,Reliance Jio Infocomm Ltd,405,57
India,Reliance Jio Infocomm Ltd,405,58
India,Reliance Jio Infocomm Ltd,405,59
India,Reliance Jio Infocomm Ltd,405,60
India,Reliance Jio Infocomm Ltd,405,61
India,Reliance Jio Infocomm Ltd,405,62
India,Reliance Jio Infocomm Ltd,405,63
India,Reliance Jio Infocomm Ltd,405,64
India,Reliance Jio Infocomm Ltd,405,65
India,Vodafone,405,66
India,Vodafone,405,67
India,Reliance Jio Infocomm Ltd,405,68
India,Reliance Jio Infocomm Ltd,405,69
India,Idea Cellular,405,70
India,Reliance Jio Infocomm Ltd,405,71
India,Reliance Jio Infocomm Ltd,405,72
India,Reliance Jio Infocomm Ltd,405,73
India,Reliance Jio Infocomm Ltd,405,74
India,Vodafone,405,75
India,Reliance Jio Infocomm Ltd,405,76
India,Reliance Jio Infocomm Ltd,405,77
India,Reliance Jio Infocomm Ltd,405,78
India,Idea Cellular,405,79
India,Aircel (Maxis),405,80
India,Airtel (Bharti Airtel),405,81
India,Airtel (Bharti Airtel),405,82
India,Videocon,405,83
India,Airtel (Bharti Airtel),405,84
India,Airtel (Bharti Airtel),405,85
India,Aircel (Maxis),405,86
India,Reliance Jio Infocomm Ltd,405,87
India,BSNL,405,88
India,BSNL,405,89
India,MTS (Sistema Shyam TeleServices),405,90
India,Idea Cellular,405,91
India,Airtel (Bharti Airtel),405,92
India,Etisalat DB Telecom,405,93
India,Reliance Jio Infocomm Ltd,405,94
India,Unknown,405,99
Indonesia,Indosat (Ooredoo),510,1
Indonesia,Smartfren,510,9
Indonesia,Telkomsel (Telekomunikasi Selular),510,10
Indonesia,XL (Axiata),510,11
Indonesia,Net1,510,27
Indonesia,PT Mobile-8 Telecom,510,28
Indonesia,3 (Hutchison),510,89
Iran,Azartel (MVNO),432,2
Iran,Shatel (MVNO),432,8
Iran,MCI (TCI),432,11
Iran,TKC,432,14
Iran,MTCE,432,19
Iran,Rightel,432,20
Iran,Taliya,432,32
Iran,MTN Irancell,432,35
Iraq,Asiacell (Ooredoo),418,5
Iraq,Zain,418,20
Iraq,Zain,418,30
Iraq,Korek Telecom,418,40
Iraq,Mobitel,418,45
Iraq,Iraq Central Cooperative Association for,418,47
Iraq,ITC Fanoos,418,48
Iraq,IraqTel,418,49
Iraq,Itisaluna,418,62
Iraq,Regional Telecom,418,66
Iraq,Kalimat,418,70
Iraq,Omnea,418,76
Ireland,Vodafone,272,1
Ireland,Hutchison 3G Ireland limited,272,2
Ireland,Eir,272,3
Ireland,3 (Hutchison),272,5
Ireland,Tesco Mobile (MVNO),272,11
Ireland,Lycamobile (MVNO),272,13
Isle of Man,Manx Telecom,234,58
Israel,Partner,425,1
Israel,Cellcom,425,2
Israel,Pelephone,425,3
Israel,Hot Mobile,425,7
Israel,Golan Telecom Ltd,425,8
Israel,We4G,425,9
Israel,Free Telecom (MVNO),425,12
Israel,Home Cellular (MVNO),425,15
Israel,Rami Levy (MVNO),425,16
Israel,Cellact Communications (MVNO),425,18
Israel,019 Mobile (MVNO),425,19
Israel,Hot Mobile Ltd.,425,77
Italy,TIM (Telecom Italia),222,1
Italy,Noverca (MVNO),222,7
Italy,Fastweb (MVNO),222,8
Italy,Vodafone,222,10
Italy,Poste Mobile (MVNO),222,33
Italy,BT Italia (MVNO),222,34
Italy,Lycamobile (MVNO),222,35
Italy,Digi Italy Srl,222,36
Italy,Iliad Italia SPA,222,50
Italy,WIND (VimpelCom),222,88
Italy,3 (Hutchison),222,99
Jamaica,Digicel (Jamaica) Limited,338,5
Jamaica,FLOW (Cable & Wireless),338,18
Japan,Y!Mobile,440,0
Japan,SoftBank Mobile,440,4
Japan,NTT DOCOMO,440,10
Japan,Softbank Corp,440,20
Japan,au (KDDI),440,54
Jersey,Airtel-Vodafone (Bharti),234,3
Jordan,Zain,416,1
Jordan,Umniah,416,3
Jordan,Orange,416,77
Kazakhstan,Beeline (KaR-Tel LLP),401,1
Kazakhstan,Kcell JSC,401,2
Kazakhstan,Altel,401,7
Kazakhstan,Kazakhtelecom,401,8
Kazakhstan,Tele2,401,77
Kenya,Safaricom,639,2
Kenya,Airtel (Bharti Airtel),639,3
Kenya,Telkom,639,7
Kiribati,TSKL,545,9
Kosovo,Vala (Telecom of Kosovo J.S.C.),221,1
Kosovo,IPKO,221,2
Kosovo,Z Mobile (MVNO),221,6
Kuwait,Zain,419,2
Kuwait,K.S.C Ooredoo,419,3
Kuwait,Viva (KTC),419,4
Kyrgyzstan,Beeline (Sky Mobile LLC),437,1
Kyrgyzstan,7 Mobile,437,3
Kyrgyzstan,MegaCom (Alfa Telecom),437,5
Kyrgyzstan,O! (NurTelecom),437,9
Laos,LaoTel,457,1
Laos,ETL,457,2
Laos,Unitel,457,3
Laos,Beeline (VimpelCom),457,8
Latvia,LMT,247,1
Latvia,Tele2,247,2
Latvia,Triatel,247,3
Latvia,Bite,247,5
Lebanon,Alfa (OTMT),415,1
Lebanon,Touch (Zain),415,3
Lesotho,Vodacom,651,1
Lesotho,Econet Wireless,651,2
Liberia,Lonestar Communications Corporation,618,1
Liberia,Novafone,618,4
Liberia,Orange LBR,618,7
Libya,Libyana,606,0
Libya,Madar,606,1
Liechtenstein,Swisscom,295,1
Liechtenstein,7acht (Salt Liechtenstein AG),295,2
Liechtenstein,FL1 (Telecom Liechtenstein AG),295,5
Lithuania,Telia,246,1
Lithuania,Bite,246,2
Lithuania,Tele2,246,3
Luxembourg,Post,270,1
Luxembourg,Tango (Belgacom),270,77
Luxembourg,Orange (Mobistar),270,99
MACAU,Smartone,455,0
MACAU,CTM,455,1
MACAU,China Telecom,455,2
MACAU,3 (Hutchison),455,3
Madagascar,Airtel (Bharti Airtel),646,1
Madagascar,Orange,646,2
Madagascar,Telma,646,4
Malawi,TNM,650,1
Malawi,Airtel (Bharti Airtel),650,10
Malaysia,TM Homeline,502,11
Malaysia,Maxis,502,12
Malaysia,Celcom Axiata Berhad,502,13
Malaysia,YTL Communications,502,15
Malaysia,DiGi,502,16
Malaysia,U Mobile,502,18
Malaysia,Celcom (Axiata),502,19
Maldives,Dhiraagu,472,1
Maldives,Ooredoo,472,2
Mali,Malitel,610,1
Mali,Orange,610,2
Mali,ATEL-SA,610,3
Malta,Vodafone,278,1
Malta,Go,278,21
Malta,Melita Mobile,278,77
Martinique,Outremer Telecom,340,2
Mauritania,Mattel,609,1
Mauritania,Chinguitel (Sudatel),609,2
Mauritania,Mauritel,609,10
Mauritius,my.t,617,1
Mauritius,Mokoze / Azu (MTML),617,2
Mauritius,Chili (MTML),617,3
Mauritius,Emtel,617,10
Mexico,AT&T,334,1
Mexico,Telcel (América Móvil),334,2
Mexico,Movistar (Telefónica),334,3
Mexico,AT&T,334,5
Mexico,AT&T,334,9
Micronesia,FSM Telecom,550,1
Moldova,Orange,259,1
Moldova,Moldcell (Fintur),259,2
Moldova,IDC (Interdnestrkom) Transnistria,259,3
Moldova,Moldtelecom,259,5
Moldova,Unité,259,99
Monaco,Monaco Telecom,212,1
Monaco,Monaco Telecom,212,10
Mongolia,Skytel,428,1
Mongolia,G-Mobile,428,6
Mongolia,Unitel,428,88
Mongolia,MobiCom,428,99
Montenegro,Telenor,297,1
Montenegro,T-Mobile,297,2
Montenegro,m:tel CG,297,3
Montserrat,FLOW (Cable & Wireless),354,86
Morocco,Orange Morocco,604,0
Morocco,Ittissalat Al-Maghrib (Maroc Telecom),604,1
Morocco,inwi,604,2
Mozambique,mCel (Mozambique Cellular),643,1
Mozambique,Movitel (Viettel),643,3
Mozambique,Vodacom,643,4
Myanmar,MPT,414,1
Myanmar,Ooredoo,414,5
Myanmar,Telenor Myanmar,414,6
Myanmar,Mytel,414,9
Namibia,MTC,649,1
Namibia,Switch,649,2
Namibia,TN Mobile,649,3
Nepal,Nepal Telecom (NDCL),429,1
Nepal,Ncell Pvt Ltd,429,2
Nepal,SmartCell,429,4
Netherlands,Tele2,204,2
Netherlands,Voiceworks BV,204,3
Netherlands,Vodafone,204,4
